Date,Open,High,Low,Close,Adj Close,Volume
2020-01-21,61.95249938964844,62.3224983215332,61.64250183105469,61.98500061035156,61.836456298828125,21791600
2020-01-22,62.439998626708984,63.397499084472656,62.25,62.52750015258789,62.37765121459961,23924000
2020-01-23,62.93000030517578,63.29999923706055,62.037498474121094,63.21500015258789,63.06350326538086,24451600
2020-01-24,64.375,64.875,62.07500076293945,62.619998931884766,62.46993637084961,37351200
2020-01-27,59.560001373291016,60.5625,58.057498931884766,60.04999923706055,59.90609359741211,47053600
2020-01-28,60.712501525878906,62.317501068115234,60.1775016784668,61.99250030517578,61.84394454956055,31097600
2020-01-29,61.84749984741211,62.209999084472656,60.98500061035156,61.3849983215332,61.23789596557617,25884800
2020-01-30,60.40250015258789,61.587501525878906,59.849998474121094,61.45249938964844,61.30522918701172,29050400
2020-01-31,60.99250030517578,61.11249923706055,58.6875,59.10749816894531,58.965850830078125,37042000
2020-02-03,58.92499923706055,60.27750015258789,58.86249923706055,60.08250045776367,59.938514709472656,25556400
2020-02-04,61.50749969482422,61.974998474121094,61.005001068115234,61.782501220703125,61.63444519042969,27154400
2020-02-05,62.997501373291016,63.099998474121094,61.852500915527344,62.689998626708984,62.53976821899414,20822000
2020-02-06,63.03499984741211,63.5625,62.220001220703125,63.5625,63.41017532348633,21828400
2020-02-07,63.15999984741211,63.38249969482422,62.64250183105469,62.897499084472656,62.746768951416016,18975200
2020-02-10,63.125,65.75,63.07500076293945,65.74250030517578,65.58495330810547,52960800
2020-02-11,66.83000183105469,68.125,66.2074966430664,66.97250366210938,66.81200408935547,63855600
2020-02-12,67.50250244140625,68.19999694824219,67.11250305175781,68.13500213623047,67.97171783447266,37464400
2020-02-13,67.55249786376953,68.37000274658203,67.27749633789062,67.69499969482422,67.53276824951172,52801600
2020-02-14,71.81500244140625,73.74250030517578,71.5,72.44750213623047,72.27388000488281,104192400
2020-02-18,71.41000366210938,74.32749938964844,71.21499633789062,74.14250183105469,73.96482849121094,62016400
2020-02-19,75.37249755859375,78.85250091552734,75.37249755859375,78.67500305175781,78.48646545410156,69433200
2020-02-20,78.19249725341797,79.08000183105469,74.0875015258789,77.17500305175781,76.99006652832031,81005200
2020-02-21,76.04750061035156,76.30000305175781,72.66500091552734,73.51750183105469,73.34132385253906,76818000
2020-02-24,67.54750061035156,70.46749877929688,67.0,68.31999969482422,68.15628051757812,85691600
2020-02-25,69.07499694824219,69.69750213623047,64.48999786376953,65.51249694824219,65.35550689697266,105549600
2020-02-26,65.51499938964844,68.86250305175781,65.5,66.9124984741211,66.75215148925781,74773200
2020-02-27,63.724998474121094,66.75,62.22249984741211,63.150001525878906,63.036346435546875,90641600
2020-02-28,60.6150016784668,68.11499786376953,60.4474983215332,67.51750183105469,67.3959732055664,113325200
2020-03-02,69.2249984741211,69.39749908447266,65.25,69.10749816894531,68.9831314086914,89074400
2020-03-03,69.6675033569336,70.26750183105469,65.61499786376953,66.47250366210938,66.35287475585938,65279200
2020-03-04,67.55000305175781,71.22250366210938,66.80000305175781,71.12750244140625,70.99949645996094,59740800
2020-03-05,69.125,70.80000305175781,67.875,68.32250213623047,68.19953918457031,54032800
2020-03-06,66.5199966430664,67.09750366210938,64.5,66.51000213623047,66.39031219482422,51541200
2020-03-09,59.974998474121094,64.8499984741211,59.54499816894531,61.36000061035156,61.249568939208984,61416000
2020-03-10,64.13500213623047,65.2699966430664,61.497501373291016,65.2699966430664,65.15252685546875,58064800
2020-03-11,63.8650016784668,64.1500015258789,60.64250183105469,61.61750030517578,61.50660705566406,49996400
2020-03-12,56.3650016784668,59.029998779296875,53.95000076293945,54.07749938964844,53.98017501831055,81654000
2020-03-13,57.625,60.255001068115234,54.90250015258789,60.209999084472656,60.10163879394531,63483600
2020-03-16,53.102500915527344,56.525001525878906,48.5,49.099998474121094,49.011627197265625,72697200
2020-03-17,50.227500915527344,55.21500015258789,47.75,54.317501068115234,54.21974182128906,83363200
2020-03-18,50.025001525878906,52.48500061035156,45.16999816894531,50.70500183105469,50.61374282836914,87426800
2020-03-19,50.4900016784668,54.182498931884766,48.34749984741211,53.24250030517578,53.14667892456055,76551200
2020-03-20,54.75,57.58000183105469,51.282501220703125,51.4375,51.34492492675781,80463600
2020-03-23,51.4275016784668,54.119998931884766,49.630001068115234,53.17250061035156,53.07679748535156,64387600
2020-03-24,57.25,63.165000915527344,57.01250076293945,62.29499816894531,62.18288040161133,110164400
2020-03-25,63.45000076293945,65.45500183105469,60.915000915527344,61.404998779296875,61.29448699951172,79343200
2020-03-26,63.48500061035156,65.55500030517578,62.5,64.30999755859375,64.19425201416016,69610800
2020-03-27,62.5,65.77999877929688,62.16999816894531,63.182498931884766,63.068790435791016,63882800
2020-03-30,63.84000015258789,66.48999786376953,63.397499084472656,66.39749908447266,66.27799987792969,60225200
2020-03-31,66.80000305175781,68.8499984741211,64.4375,65.9000015258789,65.78140258789062,94996000
2020-04-01,63.912498474121094,65.38249969482422,60.31999969482422,60.76750183105469,60.65813064575195,65691200
2020-04-02,61.060001373291016,64.0,60.57749938964844,63.86750030517578,63.75255584716797,67576400
2020-04-03,63.4900016784668,63.907501220703125,59.59749984741211,60.977500915527344,60.86775588989258,66321200
2020-04-06,63.810001373291016,67.47000122070312,63.23249816894531,67.0999984741211,66.9792251586914,72788400
2020-04-07,69.32499694824219,69.5625,64.32499694824219,64.75749969482422,64.64094543457031,78452000
2020-04-08,65.85250091552734,66.98750305175781,65.1500015258789,66.73750305175781,66.61739349365234,54244400
2020-04-09,68.0,68.2300033569336,65.1050033569336,65.73750305175781,65.61919403076172,52556400
2020-04-13,65.13749694824219,67.55000305175781,64.25,67.4625015258789,67.3410873413086,39840800
2020-04-14,68.75,71.33000183105469,68.47250366210938,70.98750305175781,70.85973358154297,53094800
2020-04-15,69.30000305175781,71.0425033569336,68.84500122070312,70.20999908447266,70.08364868164062,36614800
2020-04-16,71.7699966430664,74.75,71.63749694824219,73.67500305175781,73.54241180419922,74562000
2020-04-17,74.5,74.71499633789062,71.73500061035156,73.08000183105469,72.94847106933594,53912000
2020-04-20,71.80999755859375,73.375,71.31749725341797,71.76249694824219,71.63333892822266,44938800
2020-04-21,70.57749938964844,71.19249725341797,66.77749633789062,67.37750244140625,67.2562484741211,73516000
2020-04-22,69.30750274658203,71.96749877929688,68.8499984741211,71.5374984741211,71.40875244140625,48335600
2020-04-23,71.95999908447266,73.28500366210938,70.75,71.00250244140625,70.87472534179688,42416000
